word,sentiment_score
anak na bugtong,0.0
anak na bunso,0.0
anak na lalaki,0.0
anak na pangaman,0.0
anak na panganay,0.0
anak na panguman,0.0
anak sa labas,-2.0
anak sa ligaw,-2.0
anak sa puwera,-2.0
anakan,0.0
anakanakan,0.0
anakaraw,0.0
anakdalita,-2.0
anaki,0.0
anakin,0.0
anaklang,0.0
anakle,0.0
anakonda,0.0
anakpawis,0.0
analisahin,0.0
analisis,0.0
analohiya,0.0
anan,0.0
anang,0.0
ananin,0.0
anarki,-2.0
anarkiko,0.0
anarkismo,-2.1520862579345703
anarkista,-2.1400814056396484
anarkiya,-2.1639597415924072
anarkya,-2.120454788208008
anas,0.0
anasan,0.0
anatomia,0.0
anatomiya,0.0
anatomya,0.0
anay,-2.1218695640563965
anayad,2.0
anayin,0.0
"anayo, anayo",-2.0
andaderas,0.0
andador,0.0
andam,2.0985870361328125
andamyo,0.0
andamyuhan,0.0
andana,2.0
andanahan,0.0
andante,0.0
andap,2.0261945724487305
andar,-2.13682222366333
andas,0.0
anden,0.0
anderpas,0.0
andon,0.0
andoon,0.0
andoroon,0.0
anduka,-2.0
andukha,-2.0
andukhain,2.0
anekdota,0.0
anemik,-2.0650217533111572
anemika,-2.0
anemya,-2.1012630462646484
anestesiko,0.0
anestesya,0.0
anestetik,0.0
anestetista,0.0
ang,-2.1991631984710693
ang isa,0.0
ang isa sa isa,0.0
ang ispiker,0.0
ang maypanukala,0.0
ang mayutang,0.0
ang pinagsasabi,-2.0
ang sinasabi,-2.0
anga,0.0
angal,-2.0886964797973633
angalan,-2.1206486225128174
angang,-2.134101152420044
angas,2.0895650386810303
angat,2.1489768028259277
angatin,0.0
angaw,0.0
anggarilyas,0.0
anggi,-3.2107090950012207
anggo,-2.1769602298736572
anggular,0.0
anggulo,0.0
anghang,-2.1404690742492676
anghangan,0.0
anghel,2.0630974769592285
anghel na tagatanod,2.0
anghina,0.0
anghit,-2.0880353450775146
angi,0.0
angil,-2.0745108127593994
angilan,-2.146810531616211
angis,-2.1493866443634033
angkak,0.0
angkakan,0.0
angkan,0.0
angkanan,0.0
angkas,0.0
angkasan,0.0
angkat,0.0
angkatan,0.0
angkatin,0.0
angkin,2.132153272628784
angkinin,-2.0952670574188232
angkla,0.0
angkop,2.1499648094177246
angkora,0.0
angkupan,0.0
anglaw,0.0
anglawan,0.0
anglit,0.0
anglo,0.0
ango,-2.063795328140259
angot,-2.0
anhin,0.0
ani,0.0
aniban,0.0
anibersaryo,0.0
anidrita,0.0
anihan,0.0
anihin,0.0
aniko,0.0
anila,0.0
anilan,0.0
anilyo,0.0
anim,0.0
anim na beses,0.0
animado,2.0967257022857666
animal,-2.226264238357544
animas,-2.2237181663513184
animasyon,0.0
animo,2.0366671085357666
animo'y,2.0
aninag,2.0967533588409424
aninagin,0.0
aninaw,-2.088992118835449
aninawin,-2.1211352348327637
anino,0.0
aninuhan,0.0
anis,0.0
anit,0.0
anitan,0.0
anitin,0.0
anito,2.127485752105713
aniya,0.0
anlalawa,0.0
anlaw,0.0
anlawan,0.0
anluagi,0.0
anluwagi,0.0
ano,-2.1934280395507812
ano man,0.0
ano naman,0.0
anod,0.0
anomalia,-2.0
anomalo,-2.0
anomalya,-2.1845498085021973
anoman,0.0
anomometro,0.0
anonima,0.0
anonimo,0.0
anos,0.0
anot,0.0
ansikot,0.0
ansikutero,0.0
anta,0.0
antabay,0.0
antabayanan,-2.1122820377349854
antak,-2.081171751022339
antala,-2.116290807723999
antalahin,-2.1227049827575684
antanda,0.0
antangan,0.0
antartiko,0.0
antas,2.129540205001831
antasantas,0.0
antay,0.0
antayin,0.0
antem,0.0
antemano,0.0
antena,0.0
antenang likaw,0.0
antesala,0.0
antibady,0.0
antibayotik,0.0
anticristo,0.0
antidot,0.0
antidoto,0.0
antig,2.1800026893615723
antigin,2.186095952987671
antigo,0.0
antiklina,0.0
antimano,0.0
antimony,0.0
antinganting,2.0
antipatia,-2.0
antipatika,-2.150057792663574
antipatiko,-2.1325905323028564
antipatiya,-2.0
antipatya,-2.0
antipolo,0.0
antiseptik,0.0
antiseptiko,0.0
antisipo,0.0
antitoksin,0.0
antitoksina,0.0
antok,0.0
antolohia,0.0
antolohiya,0.0
antot,-2.1367883682250977
antraks,0.0
antrasita,0.0
antropologo,0.0
antropolohia,0.0
antropolohiya,0.0
antukin,0.0
anuano,0.0
anuba,0.0
anuhin,0.0
anuman,0.0
anuman ang mangyari,0.0
anunas,0.0
anunsiyasyon,0.0
anunsiyo,0.0
anurin,0.0
anutin,0.0
anwal,0.0
anwang,0.0
anyaya,0.0
anyayahan,0.0
anyeho,-2.0
anyo,0.0
anyuin,0.0
apa,-2.9055237770080566
apad,-2.0582237243652344
apahap,0.0
apain,-2.0
apak,0.0
apakan,-2.1196134090423584
apalit,0.0
apalya,-2.0
apanas,0.0
aparador,0.0
aparador ng mga libro,0.0
aparatista,0.0
aparato,0.0
aparin,-2.0
aparisyon,0.0
apartment,0.0
apasyonado,2.0
apat,2.104283332824707
apatan,0.0
apatang gilid,0.0
apatang taludtod,0.0
apatapat,0.0
apatia,-2.0
apatin,0.0
apatita,0.0
apatiya,-2.0
apatnapu,0.0
apatya,-2.0
apaw,-3.086516857147217
apawan,0.0
apdo,-2.087177276611328
apelahan,2.0
apelasyon,2.128303289413452
apelyido,0.0
apendiks,0.0
apendise,0.0
apendisitis,0.0
aperkat,0.0
api,0.0
apiapihan,0.0
apid,0.0
apidabit,0.0
apido,0.0
apihin,-2.1200971603393555
apinado,0.0
apinador,0.0
apinahin,0.0
apinasyon,0.0
apinidad,3.1320583820343018
apirmatiba,2.0
apirmatibo,2.0
apisyon,2.0
apisyunada,2.0
apisyunado,2.1103217601776123
apitong,0.0
aplaya,0.0
aplayan,0.0
aplikante,0.0
aplikasyon,0.0
aploramiyento,0.0
apo,2.10552716255188
apo sa pamangkin,0.0
apo sa sakong,0.0
apo sa talampakan,0.0
apo sa tuhod,0.0
apog,0.0
apog na galing sa bulaklak ng bato,0.0
apokalipsis,-2.1454970836639404
apolohiya,0.0
apong babae,0.0
apong lalaki,0.0
apopleksi,0.0
aporo,0.0
aporohan,0.0
aportunado,2.0
apostol,0.0
apostolado,0.0
apostolika,0.0
apostoliko,0.0
apostrope,0.0
apoy,0.0
aprendis,0.0
aprentis,0.0
aprika,0.0
aprikanoo,0.0
aprobado,0.0
aprobahan,3.137734889984131
aprobasyon,2.134902000427246
